Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
29,0.15160000324249268,221062.55078315735,4018.9754962921143,2970,33,14027616.46484375,146651.296875
30,0.14650000631809235,228210.3853225708,4146.103143692017,3067,35,14501719.87890625,151539.33984375
31,0.15299999713897705,235477.52404212952,4274.67155456543,3164,36,14975823.29296875,156427.00390625
32,0.15389999747276306,242710.98732948303,4408.915996551514,3261,37,15449926.70703125,161314.66796875
33,0.15549999475479126,250543.0338382721,4539.576768875122,3358,38,15924030.12109375,166202.33203125
34,0.15860000252723694,257844.72918510437,4666.226387023926,3455,39,16398133.53515625,171089.99609375
35,0.16300000250339508,265486.985206604,4793.556213378906,3552,40,16872236.94921875,175977.66015625
36,0.164900004863739,272901.79324150085,4921.143531799316,3649,41,17346340.36328125,180865.32421875
37,0.17020000517368317,280675.12249946594,5058.904409408569,3746,42,17820443.77734375,185752.98828125
38,0.1736000031232834,287650.30670166016,5188.6773109436035,3843,43,18294547.19140625,190640.65234375
39,0.17579999566078186,295429.5697212219,5330.988883972168,3940,44,18768650.60546875,195528.31640625
40,0.17880000174045563,302046.3652610779,5456.266403198242,4036,46,19237866.35546875,200416.35546875
41,0.18649999797344208,308755.7499408722,5583.410739898682,4132,47,19707082.10546875,205304.01953125
42,0.19110000133514404,315963.06014060974,5712.387323379517,4228,48,20176297.85546875,210191.68359375
43,0.19509999454021454,323277.3017883301,5840.864419937134,4324,49,20645513.60546875,215079.34765625
44,0.19930000603199005,330723.95300865173,5967.341184616089,4420,50,21114729.35546875,219967.01171875
45,0.2012999951839447,338067.46101379395,6096.6477394104,4516,51,21583945.10546875,224854.67578125
46,0.20800000429153442,345539.3741130829,6231.892347335815,4612,52,22053160.85546875,229742.33984375
47,0.20970000326633453,352390.43378829956,6358.788013458252,4708,53,22522376.60546875,234630.00390625
48,0.2143000066280365,359839.6112918854,6491.378307342529,4804,54,22991592.35546875,239517.66796875
49,0.21610000729560852,366878.870010376,6616.254568099976,4900,55,23460808.10546875,244405.33203125
50,0.2176000028848648,373445.96242904663,6739.272356033325,4995,57,23925136.19140625,249293.3671875
51,0.22470000386238098,380650.5489349365,6865.7777309417725,5090,58,24389464.27734375,254181.03125
52,0.225600004196167,387320.25480270386,6992.694616317749,5185,59,24853792.36328125,259068.6953125
53,0.2290000021457672,393853.65629196167,7118.711233139038,5280,60,25318120.44921875,263956.359375
54,0.23430000245571136,401066.14875793457,7243.010997772217,5375,61,25782448.53515625,268844.0234375
55,0.23919999599456787,408394.1025733948,7367.402076721191,5470,62,26246776.62109375,273731.6875
56,0.24199999868869781,415634.98759269714,7492.859840393066,5565,63,26711104.70703125,278619.3515625
57,0.24619999527931213,422309.02671813965,7616.785287857056,5660,64,27175432.79296875,283507.015625
58,0.24619999527931213,429336.34781837463,7743.495464324951,5755,65,27639760.87890625,288394.6796875
59,0.24879999458789825,436735.036611557,7883.652210235596,5850,66,28104088.96484375,293282.34375
60,0.2538999915122986,443977.22601890564,8011.699438095093,5944,68,28563529.38671875,298170.375
61,0.25609999895095825,450581.8626880646,8136.427640914917,6038,69,29022969.80859375,303058.0390625
62,0.2565999925136566,457848.9375114441,8264.758586883545,6132,70,29482410.23046875,307945.703125
63,0.2587999999523163,464406.6309928894,8390.422105789185,6226,71,29941850.65234375,312833.3671875
64,0.26420000195503235,470975.7730960846,8514.492988586426,6320,72,30401291.07421875,317721.03125
65,0.265500009059906,477472.39089012146,8637.354850769043,6414,73,30860731.49609375,322608.6953125
66,0.26809999346733093,484826.1604309082,8762.88652420044,6508,74,31320171.91796875,327496.359375
67,0.26899999380111694,491477.5893688202,8891.781330108643,6602,75,31779612.33984375,332384.0234375
68,0.27239999175071716,498908.988237381,9019.695520401001,6696,76,32239052.76171875,337271.6875
69,0.2736000120639801,505496.1040019989,9156.513690948486,6790,77,32698493.18359375,342159.3515625
70,0.27639999985694885,512707.5650691986,9282.506704330444,6883,79,33153045.94140625,347047.37890625
71,0.27469998598098755,519252.4061203003,9408.854722976685,6976,80,33607598.69921875,351935.04296875
72,0.2773999869823456,526297.8138923645,9532.933473587036,7069,81,34062151.45703125,356822.70703125
73,0.2800000011920929,533389.1887664795,9658.496379852295,7162,82,34516704.21484375,361710.37109375
74,0.28200000524520874,540564.8477077484,9786.347150802612,7255,83,34971256.97265625,366598.03515625
75,0.2847000062465668,547703.4466266632,9913.429260253906,7348,84,35425809.73046875,371485.69921875
76,0.2851000130176544,554300.6711006165,10035.59923171997,7441,85,35880362.48828125,376373.36328125
77,0.2883000075817108,561156.7442417145,10159.154415130615,7534,86,36334915.24609375,381261.02734375
78,0.2883000075817108,567544.8560714722,10291.701316833496,7627,87,36789468.00390625,386148.69140625
79,0.28999999165534973,574393.0244445801,10417.500257492065,7720,88,37244020.76171875,391036.35546875
80,0.2935999929904938,580693.4764385223,10540.023565292358,7812,90,37693685.85546875,395924.37890625
81,0.29260000586509705,587260.3352069855,10662.6455783844,7904,91,38143350.94921875,400812.04296875
82,0.295199990272522,593628.5400390625,10785.274982452393,7996,92,38593016.04296875,405699.70703125
83,0.29490000009536743,600238.8482093811,10907.261371612549,8088,93,39042681.13671875,410587.37109375
84,0.29760000109672546,606955.3182125092,11029.795408248901,8180,94,39492346.23046875,415475.03515625
85,0.3018999993801117,613535.0630283356,11151.949405670166,8272,95,39942011.32421875,420362.69921875
86,0.30309998989105225,620021.0287570953,11273.374319076538,8364,96,40391676.41796875,425250.36328125
87,0.3018999993801117,626427.8001785278,11394.493818283081,8456,97,40841341.51171875,430138.02734375
88,0.30239999294281006,632768.7232494354,11517.004251480103,8548,98,41291006.60546875,435025.69140625
89,0.30469998717308044,639220.8971977234,11640.434980392456,8640,99,41740671.69921875,439913.35546875
90,0.30640000104904175,645429.9867153168,11759.81330871582,8731,101,42185449.12890625,444801.375
91,0.3061999976634979,651685.0368976593,11879.88829612732,8822,102,42630226.55859375,449689.0390625
92,0.30550000071525574,658237.9264831543,12000.061750411987,8913,103,43075003.98828125,454576.703125
93,0.3057999908924103,664524.4789123535,12119.21215057373,9004,104,43519781.41796875,459464.3671875
94,0.30660000443458557,671029.7737121582,12238.03734779358,9095,105,43964558.84765625,464352.03125
95,0.30790001153945923,677469.5529937744,12358.757257461548,9186,106,44409336.27734375,469239.6953125
96,0.30869999527931213,683974.9557971954,12478.85251045227,9277,107,44854113.70703125,474127.359375
97,0.30959999561309814,690695.2016353607,12603.689908981323,9368,108,45298891.13671875,479015.0234375
98,0.3100000023841858,696933.9332580566,12723.969459533691,9459,109,45743668.56640625,483902.6875
99,0.3149000108242035,703392.5063610077,12843.721389770508,9550,110,46188445.99609375,488790.3515625
100,0.3156999945640564,709622.4875450134,12963.960647583008,9640,112,46628335.76171875,493678.3671875
