Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
61,0.6858000159263611,119356.14204406738,1432.2824478149414,6038,69,4620758.80859375,48269.0390625
62,0.6869000196456909,121398.19765090942,1453.5648822784424,6132,70,4693906.23046875,49047.203125
63,0.6877999901771545,123368.38603019714,1475.604772567749,6226,71,4767053.65234375,49825.3671875
64,0.6891000270843506,125382.65919685364,1499.7491836547852,6320,72,4840201.07421875,50603.53125
65,0.6904000043869019,127336.54522895813,1521.789312362671,6414,73,4913348.49609375,51381.6953125
66,0.6916000247001648,130355.24797439575,1543.8487529754639,6508,74,4986495.91796875,52159.859375
67,0.6927000284194946,132091.078042984,1564.812421798706,6602,75,5059643.33984375,52938.0234375
68,0.694100022315979,134037.6579761505,1588.036060333252,6696,76,5132790.76171875,53716.1875
69,0.6951000094413757,136056.93364143372,1615.030288696289,6790,77,5205938.18359375,54494.3515625
70,0.6963000297546387,137401.9136428833,1635.0774765014648,6883,79,5278307.44140625,55272.87890625
71,0.6985999941825867,139268.90230178833,1655.9498310089111,6976,80,5350676.69921875,56051.04296875
72,0.6990000009536743,141239.85385894775,1679.1877746582031,7069,81,5423045.95703125,56829.20703125
73,0.6998000144958496,143197.4778175354,1701.3773918151855,7162,82,5495415.21484375,57607.37109375
74,0.7006000280380249,145089.8895263672,1722.1996784210205,7255,83,5567784.47265625,58385.53515625
75,0.7013999819755554,147062.0882511139,1743.99733543396,7348,84,5640153.73046875,59163.69921875
76,0.7024000287055969,148810.08958816528,1765.5739784240723,7441,85,5712522.98828125,59941.86328125
77,0.7028999924659729,150774.13249015808,1787.712812423706,7534,86,5784892.24609375,60720.02734375
78,0.7034000158309937,152614.32194709778,1809.0276718139648,7627,87,5857261.50390625,61498.19140625
79,0.7038999795913696,155350.7936000824,1838.0115032196045,7720,88,5929630.76171875,62276.35546875
80,0.7055000066757202,156782.46998786926,1860.8546257019043,7812,90,6001221.85546875,63054.87890625
81,0.7037000060081482,158958.63032341003,1886.249303817749,7904,91,6072812.94921875,63833.04296875
82,0.704200029373169,160914.1116142273,1915.5707359313965,7996,92,6144404.04296875,64611.20703125
83,0.7050999999046326,162857.78975486755,1938.1489753723145,8088,93,6215995.13671875,65389.37109375
84,0.7059999704360962,164830.34443855286,1960.350513458252,8180,94,6287586.23046875,66167.53515625
85,0.7067000269889832,166734.2667579651,1982.8205108642578,8272,95,6359177.32421875,66945.69921875
86,0.7071999907493591,168612.5886440277,2003.6273002624512,8364,96,6430768.41796875,67723.86328125
87,0.708299994468689,170606.90689086914,2026.0744094848633,8456,97,6502359.51171875,68502.02734375
88,0.7088000178337097,172046.4220046997,2046.7891693115234,8548,98,6573950.60546875,69280.19140625
89,0.7093999981880188,175060.76097488403,2081.3121795654297,8640,99,6645541.69921875,70058.35546875
90,0.7093999981880188,176355.00597953796,2101.4208793640137,8731,101,6716354.62890625,70836.875
91,0.7074999809265137,178201.88236236572,2122.978448867798,8822,102,6787167.55859375,71615.0390625
92,0.7077000141143799,180123.22115898132,2142.976999282837,8913,103,6857980.48828125,72393.203125
93,0.7075999975204468,183025.71558952332,2165.1852130889893,9004,104,6928793.41796875,73171.3671875
94,0.708299994468689,185034.80339050293,2186.7516040802,9095,105,6999606.34765625,73949.53125
95,0.7092000246047974,186509.28044319153,2206.8068981170654,9186,106,7070419.27734375,74727.6953125
96,0.7095999717712402,188284.25693511963,2227.2207736968994,9277,107,7141232.20703125,75505.859375
97,0.7105000019073486,190013.18955421448,2249.546766281128,9368,108,7212045.13671875,76284.0234375
98,0.7111999988555908,191923.6180782318,2269.899368286133,9459,109,7282858.06640625,77062.1875
99,0.7123000025749207,193811.1560344696,2292.5076484680176,9550,110,7353670.99609375,77840.3515625
100,0.7128000259399414,195157.24086761475,2312.72292137146,9640,112,7423705.76171875,78618.8671875
